Provincia|Ciudad/Región|Medio|Enlace RSS|Razón
Buenos Aires|Capital/AMBA|La Naci�n - Ultimo Momento|https://www.lanacion.com.ar/arc/outboundfeeds/rss/stream/todas_las_noticias/?outputType=xml|HTTP 404
Buenos Aires|Capital/AMBA|Infobae - �ltimas Noticias|https://www.infobae.com/new-resizer/yP1l3i7Q-g_k8oYc5S1j1j-e3yY=/arc-rss-bfeed-infobae/|HTTP 403
Buenos Aires|Capital/AMBA|P�gina/12 - Portada|https://www.pagina12.com.ar/rss/portada|HTTP 404
Buenos Aires|Capital/AMBA|Ambito Financiero|https://www.ambito.com/rss/feed.xml|HTTP 404
Buenos Aires|Capital/AMBA|T�lam - Todas las Noticias|https://www.telam.com.ar/rss/|Dominio no encontrado
Buenos Aires|La Plata|El D�a de La Plata|https://www.eldia.com/rss/feed.xml|HTTP 404
Buenos Aires|Bah�a Blanca|La Nueva|https://www.lanueva.com/rss/feed.xml|HTTP 404
Buenos Aires|La Plata|Diario Hoy|https://www.diariohoy.net/feed/|No es un feed RSS válido
Buenos Aires|Bah�a Blanca|Wips|https://www.wips.com.ar/feed/|Dominio no encontrado
Buenos Aires|La Plata|0221|https://www.0221.com.ar/feed|HTTP 404
Buenos Aires|Tandil|El Eco de Tandil|https://www.eleco.com.ar/feed/|No es un feed RSS válido
Buenos Aires|Jun�n|Diario Democracia|https://www.diariodemocracia.com/feed/|HTTP 404
Buenos Aires|Olavarr�a|El Popular|https://www.elpopular.com.ar/feed/|Dominio no encontrado
Buenos Aires|Pilar|Pilar a Diario|https://www.pilaradiario.com/feed/|HTTP 404
Buenos Aires|Mar del Plata|El Marplatense|https://www.elmarplatense.com/feed/|HTTP 404
Buenos Aires|Bah�a Blanca|Bah�a Blanca al D�a|https://bahiablancaaldia.com/feed/|Dominio no encontrado
Buenos Aires|La Plata|La Plata Hoy|https://laplatahoy.com/feed/|No es un feed RSS válido
Buenos Aires|Tandil|Tandil Diario|https://www.tandildiario.com/feed/|getaddrinfo EAI_AGAIN www.tandildiario.com
Buenos Aires|Jun�n|Diario de Jun�n|https://www.diariodejunin.com.ar/feed/|Dominio no encontrado
Buenos Aires|Necochea|Diario Necochea|https://www.diarionecochea.com/feed/|No es un feed RSS válido
Buenos Aires|Pergamino|Diario La Opini�n|https://www.laopinionpergamino.com.ar/feed/|HTTP 404
Buenos Aires|Z�rate|La Voz de Z�rate|https://www.lavozdezarate.com/feed/|write EPROTO 44440000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:c:\ws\d
Buenos Aires|Campana|Campana Noticias|https://campananoticias.com/feed/|HTTP 404
Buenos Aires|Chivilcoy|La Gaceta de Chivilcoy|https://www.lagacetadechivilcoy.com.ar/feed/|Dominio no encontrado
Buenos Aires|Balcarce|Minuto Balcarce|https://minutobalcarce.com.ar/feed/|Conexión rechazada
Buenos Aires|Azul|Diario El Tiempo|https://www.diarioeltiempodeazul.com.ar/feed/|Dominio no encontrado
Buenos Aires|Mercedes|Noticias Mercedinas|https://www.noticiasmercedinas.com/feed/|HTTP 404
Buenos Aires|San Pedro|San Pedro Informa|https://www.sanpedroinforma.com.ar/feed/|HTTP 500
Buenos Aires|Chascom�s|El Cronista|https://www.elcronista.com.ar/feed/|Dominio no encontrado
Buenos Aires|Brandsen|Brandsen Hoy|https://brandsenhoy.com.ar/feed/|Dominio no encontrado
Buenos Aires|Tres Arroyos|Diario El Periodista|https://elperiodista3a.com.ar/feed/|Dominio no encontrado
Buenos Aires|Trenque Lauquen|Diario L�der|https://diariolider.com.ar/feed/|Dominio no encontrado
Buenos Aires|Pehuaj�|Diario Noticias|https://www.diarionoticias.com.ar/feed/|HTTP 404
Santa Fe|Rosario|La Capital - Portada|https://www.lacapital.com.ar/rss/feed.xml|HTTP 404
Santa Fe|Santa Fe Capital|El Litoral|https://www.ellitoral.com/index.xml|HTTP 404
Santa Fe|Santa Fe Capital|Aire de Santa Fe|https://www.airedesantafe.com.ar/feed/|HTTP 404
Santa Fe|Rosario|Cadena 3 Rosario|http://cadena3.com/rss/2MinutosdeNoticias-Rosario.xml|No es un feed RSS válido
Santa Fe|Santa Fe Capital|LT10 - Noticias|https://lt10.com.ar/feed/|HTTP 404
Santa Fe|Santa Fe Capital|Diario Uno|https://www.unosantafe.com.ar/rss/feed.xml|HTTP 404
Santa Fe|Rafaela|Diario Castellanos|https://diariocastellanos.net/feed/|HTTP 404
Santa Fe|Venado Tuerto|El Litoral - Venado Tuerto|https://www.ellitoral.com/index.xml?q=venado+tuerto|HTTP 404
Santa Fe|Reconquista|Reconquista Hoy|https://reconquistahoy.com/feed/|HTTP 404
Santa Fe|Esperanza|Esperanza D�a por D�a|https://www.esperanzadiapordia.com.ar/feed/|Dominio no encontrado
Santa Fe|Casilda|Casilda Plus|https://www.casildaplus.com/feed/|HTTP 404
Santa Fe|Ca�ada de G�mez|El Portal de Ca�ada|https://elportaldecanadadegomez.com/feed/|Dominio no encontrado
Santa Fe|Rosario|V�a Rosario|https://via.com.ar/rosario/feed|Timeout - servidor no responde
Santa Fe|Santa Fe Capital|Santa Fe Noticias|https://santafenoticias.com.ar/feed/|HTTP 404
Santa Fe|Rafaela|Rafaela Noticias|https://rafaelanoticias.com/feed/|HTTP 404
Santa Fe|Reconquista|Diario Reconquista|https://diarioreconquista.com.ar/feed/|Dominio no encontrado
Santa Fe|Esperanza|Noticias Esperanza|https://noticiasesperanza.com/feed/|Dominio no encontrado
Santa Fe|Casilda|La Posta Casilda|https://www.lapostacasilda.com/feed/|Dominio no encontrado
Santa Fe|San Justo|San Justo Noticias|https://sanjustonoticias.com/feed/|Dominio no encontrado
Santa Fe|Coronda|Coronda Hoy|https://corondahoy.com.ar/feed/|Dominio no encontrado
Santa Fe|Rosario|Rosario Net|https://rosarionet.com.ar/feed/|HTTP 404
Santa Fe|Santa Fe Capital|Punto Biz|https://puntobiz.com.ar/feed/|HTTP 404
Santa Fe|Sunchales|Sunchales Hoy|https://sunchaleshoy.com.ar/feed/|No es un feed RSS válido
Santa Fe|Tostado|Tostado Noticias|https://tostadonoticias.com.ar/feed/|Dominio no encontrado
Santa Fe|Villa Gobernador G�lvez|VGG Noticias|https://vggnoticias.com.ar/feed/|Dominio no encontrado
Santa Fe|Rosario|Rosario Al D�a|https://rosarioaldia.com.ar/feed/|Dominio no encontrado
Santa Fe|Santa Fe Capital|Santa Fe Post|https://santafepost.com/feed/|HTTP 404
Santa Fe|Rafaela|Rafaela Al D�a|https://rafaelaaldia.com.ar/feed/|Dominio no encontrado
Santa Fe|Rosario|Deportes Rosario|https://deportesrosario.com.ar/feed/|Dominio no encontrado
Santa Fe|Santa Fe Capital|Santa Fe Turismo|https://santafeturismo.com.ar/feed/|Dominio no encontrado
Santa Fe|Santa Fe Capital|Agro Litoral|https://agrolitoral.com.ar/feed/|Dominio no encontrado
Santa Fe|Rosario|Rosario Pol�tica|https://rosariopolitica.com/feed/|Dominio no encontrado
C�rdoba|C�rdoba Capital|La Voz - �ltimas|https://www.lavoz.com.ar/rss.xml|HTTP 404
C�rdoba|C�rdoba Capital|Cadena 3|http://cadena3.com/rss/2MinutosdeNoticias-Cordoba.xml|No es un feed RSS válido
C�rdoba|C�rdoba Capital|El Doce TV|https://eldoce.tv/feed/|HTTP 404
